name,address,source,rating,reviews,positive_words,negative_words,prices,price,services,lat,lon
Пансионат Жизнь,"Апрелевская ул., 11, Апрелевка",Yandex,4.8,30.0,3,0,True,2900.0,Пансионат для пожилых людей,55.546577,37.065743
"Теплые беседы, пансионат для пожилых людей","Оранжерейная улица, 7",2GIS,4.9,30.0,18,5,True,2250.0,Дом престарелых | Пансионат для пожилых людей | Пансионат для пожилых людей в подмосковье | Частный пансионат для пожилых | Дом престарелых в подмосковье | Пансионат для пожилых людей в Подмосковье | Дом престарелых Долгопрудный | Пансионат для пожилых реутов | Дом престарелых реутов | Пансионат для пожилых людей реутов | Восток дом престарелых | Частный пансионат для пожилых реутов,55.718791,37.861792
"Опека Щукинский, пансионат","улица Габричевского, 5 к8",2GIS,4.9,30.0,8,3,True,11000.0,"5-местное | 4-местное | 3-местное | 2-местное | 1-местное | 1-местное Комфорт | 1-местное ""Всё включено"" | Восстановление после инсульта | АВП для пациентов с хронической сердечной недостаточностью | АВП для пациентов с когнитивными нарушениями | Паллиативная помощь и выхаживание | Программа восстановительного лечения | Восстановление после перелома шейки бедра",55.814275,37.456691
Доверие,"Рогожская ул., 7, Электроугли",Yandex,4.7,29.0,1,0,True,2000.0,Мини-квартира со всеми удобствами | 4-7 местные номера | 1-2 местные номера,55.715607,38.201998
"Опека, пансионат Опека Щукинский","улица Габричевского, 5 к10",2GIS,4.9,29.0,11,8,True,11000.0,"5-местное | 4-местное | 3-местное | 2-местное | 1-местное | 1-местное Комфорт | 1-местное ""Всё включено"" | Восстановление после инсульта | АВП для пациентов с хронической сердечной недостаточностью | АВП для пациентов с когнитивными нарушениями | Паллиативная помощь и выхаживание | Программа восстановительного лечения | Восстановление после перелома шейки бедра",55.815441,37.455045
100+,"1-й Лучевой просек, 3",Yandex,4.4,28.0,3,1,False,,,,
"Опека Алтуфьевский, пансионат","улица Лескова, 6Б",2GIS,4.8,27.0,13,3,True,11000.0,"5-местное | 4-местное | 3-местное | 2-местное | 1-местное | 1-местное Комфорт | 1-местное ""Всё включено"" | Восстановление после инсульта | АВП для пациентов с хронической сердечной недостаточностью | АВП для пациентов с когнитивными нарушениями | Паллиативная помощь и выхаживание | Программа восстановительного лечения | Восстановление после перелома шейки бедра",55.896795,37.593452
"Идиллия, пансионат для пожилых людей","Большая Филёвская улица, 11",2GIS,4.9,26.0,32,3,False,,,55.748984,37.502041
Тепло Сердец,"Кооперативная ул., 18, рабочий посёлок Монино",Yandex,4.4,25.0,6,0,False,,,55.846987,38.21272
Забота,"д. Редькино, территория Урочище Редькин Луг, 2В",Yandex,4.3,25.0,6,0,True,2900.0,Пансионат для пожилых с деменцией | Пансионат для пожилых после инфаркта | Пансионат для пожилых после инсульта | Пансионат для пожилых с медицинским уходом | Пансионат для пожилых с Альцгеймера | Пансионат для лежачих больных | Пансионат для пожилых с реабилитацией | Пансионат для слабовидящих | Пансионат для больных Паркинсоном | Пансионат для инвалидов-колясочников | Дом престарелых | Пансионат для пожилых людей в Подмосковье | Пансионат для пожилых людей | Пансионат после перелома шейки бедра | Уход за пожилыми людьми,,
